year,state,Auto,Bus,Truck,Motorcycle
1991,Texas,"7,912,725","61,732","4,722,083","185,167"
1991,Utah,"762,179","1,171","466,380","24,473"
1991,Vermont,"285,193","1,784","159,842","18,433"
1991,Virginia,"3,505,220","16,482","1,500,520","61,327"
1991,Washington,"2,876,768","5,566","1,521,270","115,613"
1991,West Virginia,"814,048","3,702","455,694","17,642"
1991,Wisconsin,"2,183,538","12,018","1,489,382","210,378"
1991,Wyoming,"212,092","2,390","254,084","16,812"
1992,Alabama,"2,107,994","8,270","1,187,800","41,358"
1992,Alaska,"226,642","1,918","257,535","11,191"
1992,Arizona,"1,736,315","4,394","1,060,192","71,163"
1992,Arkansas,"851,013","5,585","644,882","13,905"
1992,California,"14,545,660","40,835","7,615,805","623,046"
1992,Colorado,"1,755,696","5,517","1,154,072","88,872"
1992,Connecticut,"1,992,134","8,346","568,684","49,667"
1992,Delaware,"376,694","2,155","166,133","9,759"
1992,District of Columbia,"217,177","2,769","36,460","1,831"
1992,Florida,"7,194,595","38,135","2,999,606","193,739"
1992,Georgia,"3,863,554","15,399","2,020,484","80,035"
1992,Hawaii,"529,305","4,253","240,536","22,846"
1992,Idaho,"512,254","3,717","518,319","33,475"
1992,Illinois,"5,895,362","16,307","2,070,056","200,904"
1992,Indiana,"2,934,903","22,451","1,558,496","95,195"
1992,Iowa,"1,682,897","9,191","1,013,666","157,383"
1992,Kansas,"1,181,455","3,761","735,352","55,749"
1992,Kentucky,"1,858,082","10,325","1,114,813","35,133"
1992,Louisiana,"1,926,953","19,681","1,146,877","35,193"
1992,Maine,"610,903","2,837","364,394","30,484"
1992,Maryland,"2,701,801","10,990","976,108","52,162"
1992,Massachusetts,"2,838,604","10,625","814,171","62,991"
1992,Michigan,"4,968,319","23,325","2,318,908","153,886"
1992,Minnesota,"2,233,602","15,384","1,234,844","105,916"
1992,Mississippi,"1,199,865","8,911","745,197","27,147"
1992,Missouri,"2,532,416","11,713","1,459,933","60,045"
1992,Montana,"442,453","2,799","461,537","22,630"
1992,Nebraska,"783,126","5,261","566,663","19,421"
1992,Nevada,"546,022","1,784","373,130","19,779"
1992,New Hampshire,"598,119","1,698","293,830","34,276"
1992,New Jersey,"4,355,826","18,185","1,217,343","100,274"
1992,New Mexico,"730,983","3,444","617,268","31,167"
1992,New York,"7,630,157","39,667","2,109,730","193,715"
1992,North Carolina,"3,392,464","33,592","1,880,855","58,635"
1992,North Dakota,"338,633","2,272","314,430","18,464"
1992,Ohio,"6,470,123","31,254","2,528,452","230,291"
1992,Oklahoma,"1,538,531","13,729","1,184,695","56,937"
1992,Oregon,"1,457,748","11,295","1,114,362","62,069"
1992,Pennsylvania,"5,743,613","31,708","2,403,910","167,010"
1992,Rhode Island,"492,467","1,605","127,953","21,137"
1992,South Carolina,"1,740,272","14,360","846,297","32,595"
1992,South Dakota,"397,412","2,532","319,746","23,408"
1992,Tennessee,"2,997,756","15,001","1,632,326","75,059"
1992,Texas,"7,656,478","63,742","5,047,218","164,147"
1992,Utah,"741,713","1,179","509,376","24,174"
1992,Vermont,"291,837","1,796","171,177","16,588"
1992,Virginia,"3,562,466","16,315","1,659,925","59,209"
1992,Washington,"2,748,724","6,569","1,710,550","111,587"
1992,West Virginia,"755,638","3,628","513,641","18,251"
1992,Wisconsin,"2,475,891","12,161","1,246,659","175,683"
1992,Wyoming,"218,501","2,362","261,952","15,537"
1993,Alabama,"2,116,603","8,351","1,265,411","40,489"
1993,Alaska,"221,507","1,916","265,581","11,564"
1993,Arizona,"1,781,193","4,400","1,105,996","73,007"
1993,Arkansas,"853,452","5,612","668,561","13,809"
1993,California,"14,691,068","41,423","8,091,221","586,810"
1993,Colorado,"1,793,397","5,566","1,233,125","87,934"
1993,Connecticut,"1,995,532","8,210","590,627","37,156"
1993,Delaware,"386,153","2,230","166,167","9,810"
1993,District of Columbia,"230,163","2,737","30,737","1,757"
1993,Florida,"7,049,970","38,761","3,080,825","188,846"
1993,Georgia,"3,594,551","14,746","2,023,128","55,004"
1993,Hawaii,"513,430","4,241","245,820","24,064"
1993,Idaho,"496,204","3,372","523,603","32,391"
1993,Illinois,"5,869,698","15,991","2,184,775","201,415"
1993,Indiana,"2,997,599","22,890","1,649,812","95,693"
1993,Iowa,"1,675,922","9,044","1,053,181","148,714"
1993,Kansas,"1,119,163","3,754","799,312","53,073"
1993,Kentucky,"1,635,389","11,831","981,910","32,495"
1993,Louisiana,"1,904,849","19,622","1,241,684","35,220"
1993,Maine,"633,843","2,853","391,246","31,272"
1993,Maryland,"2,582,540","10,899","966,119","40,516"
1993,Massachusetts,"2,930,804","10,739","895,954","68,466"
1993,Michigan,"4,924,821","23,630","2,450,107","137,406"
1993,Minnesota,"2,333,736","14,728","1,367,639","125,843"
1993,Mississippi,"1,217,879","9,050","772,710","27,674"
1993,Missouri,"2,561,765","12,080","1,491,841","57,171"
1993,Montana,"447,389","2,894","488,937","21,584"
1993,Nebraska,"820,696","5,794","612,536","18,826"
1993,Nevada,"550,663","1,779","384,785","20,066"
1993,New Hampshire,"636,061","1,725","320,955","36,427"
1993,New Jersey,"4,348,626","18,679","1,273,570","89,398"
1993,New Mexico,"732,480","3,412","684,761","31,244"
1993,New York,"7,839,217","40,809","2,282,475","194,990"
1993,North Carolina,"3,402,822","33,990","1,927,759","63,674"
1993,North Dakota,"340,734","2,320","318,777","17,965"
1993,Ohio,"6,558,202","31,711","2,689,060","233,449"
1993,Oklahoma,"1,529,400","14,043","1,227,910","55,677"
1993,Oregon,"1,466,577","11,540","1,146,010","60,769"
1993,Pennsylvania,"5,906,506","32,486","2,343,074","171,845"
1993,Rhode Island,"537,057","1,583","156,670","19,782"
1993,South Carolina,"1,773,357","14,487","895,867","33,620"
1993,South Dakota,"433,001","2,560","372,123","26,192"
1993,Tennessee,"3,215,252","15,699","1,732,897","83,547"
1993,Texas,"7,777,381","65,670","5,275,270","143,772"
1993,Utah,"776,484","1,187","557,113","23,175"
1993,Vermont,"300,765","1,832","180,625","16,577"
1993,Virginia,"3,633,547","16,225","1,757,963","61,642"
1993,Washington,"2,647,986","7,442","1,757,570","108,727"
1993,West Virginia,"796,271","3,563","545,561","19,284"
1993,Wisconsin,"2,489,103","11,939","1,313,653","196,517"
1993,Wyoming,"256,381","2,387","298,848","11,508"
1994,Alabama,"1,927,234","8,401","1,240,925","39,186"
1994,Alaska,"231,587","1,935","299,974","12,553"
1994,Arizona,"1,687,113","4,444","1,121,905","68,492"
1994,Arkansas,"862,768","5,585","698,485","14,374"
1994,California,"14,504,566","42,261","7,792,048","554,727"
1994,Colorado,"1,585,622","5,571","1,158,665","96,483"
1994,Connecticut,"1,973,916","8,375","617,198","48,591"
1994,Delaware,"388,753","2,176","187,107","9,140"
1994,District of Columbia,"214,690","2,792","31,313","1,727"
1994,Florida,"7,086,485","39,564","3,125,761","182,898"
1994,Georgia,"3,725,652","15,062","2,248,988","57,529"
1994,Hawaii,"518,569","4,305","256,001","12,444"
1994,Idaho,"489,624","3,410","541,695","33,174"
1994,Illinois,"6,190,368","16,305","2,491,181","188,553"
1994,Indiana,"3,074,328","23,581","1,790,726","97,465"
1994,Iowa,"1,669,722","9,269","1,086,887","115,358"
1994,Kansas,"1,190,556","3,779","888,622","44,953"
1994,Kentucky,"1,612,156","11,788","1,041,761","33,995"
1994,Louisiana,"1,995,859","20,347","1,410,258","35,790"
1994,Maine,"567,897","2,810","375,037","25,690"
1994,Maryland,"2,591,099","11,216","1,038,022","38,998"
1994,Massachusetts,"3,057,686","10,414","958,704","65,983"
1994,Michigan,"4,967,347","23,940","2,582,306","114,396"
1994,Minnesota,"2,550,247","16,840","1,490,328","130,043"
1994,Mississippi,"1,221,038","9,334","832,595","28,527"
1994,Missouri,"2,587,720","12,167","1,608,043","56,805"
1994,Montana,"439,358","3,049","507,118","21,517"
1994,Nebraska,"819,124","5,770","632,690","21,072"
1994,Nevada,"571,055","1,727","411,914","20,610"
1994,New Hampshire,"646,432","1,729","343,654","33,338"
1994,New Jersey,"4,423,973","19,423","1,395,813","87,267"
1994,New Mexico,"735,822","3,402","683,216","31,105"
1994,New York,"7,677,546","43,333","2,475,287","176,541"
1994,North Carolina,"3,398,511","34,113","2,010,096","64,264"
1994,North Dakota,"340,345","2,409","341,886","17,560"
1994,Ohio,"6,668,209","32,279","2,963,239","224,339"
1994,Oklahoma,"1,516,752","14,406","1,274,592","56,331"
1994,Oregon,"1,536,232","10,938","1,205,399","61,926"
1994,Pennsylvania,"5,970,382","33,466","2,478,539","169,541"
1994,Rhode Island,"530,783","1,643","166,667","16,979"
1994,South Carolina,"1,760,073","14,705","968,035","34,333"
1994,South Dakota,"409,263","2,564","357,559","25,850"
1994,Tennessee,"3,203,106","16,455","1,839,092","57,653"
1994,Texas,"7,809,932","68,468","5,747,465","146,948"
1994,Utah,"796,877",866,"616,925","23,169"
1994,Vermont,"297,828","1,874","189,734","17,932"
1994,Virginia,"3,654,524","16,266","1,836,270","58,696"
1994,Washington,"2,656,823","7,652","1,800,594","97,752"
1994,West Virginia,"837,327","3,500","621,501","16,988"
1994,Wisconsin,"2,483,747","12,296","1,429,745","150,400"
1994,Wyoming,"226,843","2,419","279,908","16,570"
1995,Alabama,"2,118,372","8,451","1,426,012","37,926"
1995,Alaska,"233,859","2,008","306,319","12,917"
1995,Arizona,"1,687,961","4,429","1,180,935","69,170"
1995,Arkansas,"870,016","5,660","737,523","17,217"
1995,California,"14,297,486","42,899","8,091,364","532,053"
1995,Colorado,"1,593,928","5,609","1,212,253","88,120"
1995,Connecticut,"1,971,602","8,749","641,905","48,965"
1995,Delaware,"392,908","2,134","196,866","9,168"
1995,District of Columbia,"208,470","2,717","31,508","1,623"
1995,Florida,"7,097,499","40,264","3,231,632","190,112"
1995,Georgia,"3,759,976","15,551","2,344,670","72,318"
1995,Hawaii,"523,456","4,383","274,287","13,209"
1995,Idaho,"490,433","3,361","549,280","33,489"
1995,Illinois,"6,406,116","16,428","2,550,465","184,216"
1995,Indiana,"3,141,995","24,290","1,905,677","96,394"
1995,Iowa,"1,670,671","9,402","1,133,945","111,503"
1995,Kansas,"1,168,385","3,779","912,344","43,120"
1995,Kentucky,"1,570,080","11,627","1,049,689","32,996"
1995,Louisiana,"1,874,182","20,345","1,391,054","36,776"
1995,Maine,"574,069","2,776","390,000","25,972"
1995,Maryland,"2,571,508","11,225","1,071,466","38,833"
1995,Massachusetts,"3,398,334","10,926","1,092,709","74,243"
1995,Michigan,"4,957,127","24,249","2,692,714","127,902"
1995,Minnesota,"2,398,697","15,652","1,467,480","117,891"
1995,Mississippi,"1,246,128","9,684","887,741","29,636"
1995,Missouri,"2,562,604","12,256","1,680,163","54,939"
1995,Montana,"441,311","2,994","524,163","20,930"
1995,Nebraska,"807,041","5,795","653,799","18,951"
1995,Nevada,"598,911","1,744","446,571","21,672"
1995,New Hampshire,"727,410","1,763","392,855","49,445"
1995,New Jersey,"4,433,631","19,614","1,453,071","88,634"
1995,New Mexico,"763,180","3,435","717,112","31,180"
1995,New York,"7,645,540","45,776","2,582,720","169,679"
1995,North Carolina,"3,517,585","35,323","2,129,347","67,207"
1995,North Dakota,"344,363","2,176","348,136","16,894"
1995,Ohio,"6,673,172","32,815","3,104,283","218,502"
1995,Oklahoma,"1,517,255","14,786","1,324,038","55,480"
1995,Oregon,"1,529,126","11,542","1,244,304","61,236"
1995,Pennsylvania,"5,882,488","33,874","2,564,164","171,335"
1995,Rhode Island,"524,520","1,691","172,999","16,979"
1995,South Carolina,"1,812,178","14,988","1,006,165","34,570"
1995,South Dakota,"367,490","2,563","338,560","25,184"
1995,Tennessee,"3,350,167","17,106","2,033,020","70,058"
1995,Texas,"7,690,781","71,776","5,919,178","130,117"
1995,Utah,"805,609","1,206","640,051","22,171"
1995,Vermont,"294,612","1,889","195,758","18,113"
1995,Virginia,"3,679,429","17,235","1,916,469","58,199"
1995,Washington,"2,636,785","7,682","1,858,311","95,795"
1995,West Virginia,"805,421","3,492","616,296","18,494"
1995,Wisconsin,"2,488,473","12,916","1,491,939","168,937"
1995,Wyoming,"264,435","2,468","334,433","16,559"
1996,Alabama,"1,761,297","8,514","1,636,905","36,706"
1996,Alaska,"228,477","2,034","307,915","13,122"
1996,Arizona,"1,765,844","4,403","1,241,420","71,873"
1996,Arkansas,"862,334","5,736","758,482","16,490"
1996,California,"15,398,720","43,726","8,948,984","526,048"
1996,Colorado,"1,900,913","5,686","1,531,509","94,217"
1996,Connecticut,"1,941,328","9,069","669,823","48,328"
1996,Delaware,"398,155","2,092","205,354","9,985"
1996,District of Columbia,"199,722","2,672","35,787","1,600.14"
1996,Florida,"7,285,563","41,161","3,440,485","203,334"
1996,Georgia,"3,840,559","16,086","2,502,728","73,492"
1996,Hawaii,"505,424","4,164","277,160","25,114"
1996,Idaho,"484,745","3,523","568,139","34,034"
1996,Illinois,"6,293,249","16,244","2,550,863","171,091"
1996,Indiana,"3,166,841","24,845","2,049,376","96,518"
1996,Iowa,"1,653,777","8,088","1,191,029","131,851"
1996,Kansas,"1,158,107","3,798","958,931","48,835"
1996,Kentucky,"1,606,199","12,166","1,123,724","36,603"
1996,Louisiana,"1,903,241","20,521","1,436,458","37,072"
1996,Maine,"578,024","2,762","386,341","26,768"
1996,Maryland,"2,570,020","11,362","1,115,776","37,936"
1996,Massachusetts,"3,543,725","11,320","1,181,419","90,844"
1996,Michigan,"5,090,734","24,604","2,886,517","149,971"
1996,Minnesota,"2,273,431","14,618","1,506,705","116,189"
1996,Mississippi,"1,267,644","9,748","907,764","30,162"
1996,Missouri,"2,576,039","12,379","1,799,183","54,118"
1996,Montana,"437,080","2,789","534,092","20,868"
1996,Nebraska,"807,246","6,255","674,072","18,596"
1996,Nevada,"619,282","1,708","448,581","22,471"
1996,New Hampshire,"736,751","1,832","392,065","51,890"
1996,New Jersey,"4,397,727","19,432","1,455,653","91,995"
1996,New Mexico,"772,175","3,477","720,894","31,578"
1996,New York,"7,984,694","44,882","2,705,910","136,246"
1996,North Carolina,"3,508,344","34,957","2,275,798","67,855"
1996,North Dakota,"338,132","2,267","354,214","16,394"
1996,Ohio,"6,609,252","33,599","3,251,500","219,719"
1996,Oklahoma,"1,685,876","15,174","1,383,304","59,210"
1996,Oregon,"1,527,945","12,665","1,275,370","60,841"
1996,Pennsylvania,"5,935,633","34,692","2,667,884","178,527"
1996,Rhode Island,"510,951","1,766","187,067","17,048"
1996,South Carolina,"1,763,547","15,056","1,048,519","39,219"
1996,South Dakota,"370,349","2,571","340,231","24,734"
1996,Tennessee,"2,996,632","17,299","1,870,201","78,869"
1996,Texas,"7,579,106","76,169","6,055,109","148,815"
1996,Utah,"811,383","1,214","666,302","23,171"
1996,Vermont,"300,955","1,903","206,838","18,256"
1996,Virginia,"3,637,721","17,417","1,974,317","57,561"
1996,Washington,"2,636,630","7,842","1,940,348","104,450"
1996,West Virginia,"802,120","3,429","626,656","16,075"
1996,Wisconsin,"2,473,218","12,529","1,556,287","169,594"
1996,Wyoming,"231,480","2,536","316,539","14,954"
1997,Alabama,"1,905,811","8,576","1,755,052","39,025"
1997,Alaska,"224,770","2,078","315,550","13,467"
1997,Arizona,"1,852,690","4,486","1,285,967","74,680"
1997,Arkansas,"857,314","5,814","770,702","14,331"
1997,California,"15,705,806","44,469","9,194,701","454,360"
1997,Colorado,"1,919,850","5,721","1,597,019","95,162"
1997,Connecticut,"1,963,185","9,486","686,847","48,537"
1997,Delaware,"403,797","2,045","207,859","9,941"
1997,District of Columbia,"196,077","2,622","34,971","1,627"
1997,Florida,"7,374,840","42,076","3,457,115","209,473"
1997,Georgia,"3,688,005","16,499","2,537,703","75,625"
1997,Hawaii,"442,889","3,959","245,956","21,487"
1997,Idaho,"494,486","3,643","582,923","35,069"
1997,Illinois,"5,853,560","16,817","2,572,445","181,789"
1997,Indiana,"3,247,725","25,408","2,072,643","98,476"
1997,Iowa,"1,636,347","8,035","1,207,001","132,000"
1997,Kansas,"1,137,271","3,813","1,011,023","48,054"
1997,Kentucky,"1,633,671","11,812","1,135,323","38,658"
1997,Louisiana,"1,930,142","20,585","1,460,296","38,049"
1997,Maine,"637,418","2,824","418,357","28,166"
1997,Maryland,"2,628,171","11,567","1,146,316","38,701"
1997,Massachusetts,"3,832,386","11,363","1,226,683","88,800"
1997,Michigan,"5,110,851","24,771","2,888,109","155,673"
1997,Minnesota,"2,317,021","13,817","1,596,411","123,858"
1997,Mississippi,"1,262,969","10,081","960,747","30,857"
1997,Missouri,"2,549,791","12,745","1,788,008","55,527"
1997,Montana,"455,140","2,820","521,740","21,406"
1997,Nebraska,"811,678","5,497","689,821","18,063"
1997,Nevada,"659,079","1,748","484,829","23,781"
1997,New Hampshire,"739,132","1,789","386,466","47,312"
1997,New Jersey,"4,268,888","19,327","1,528,365","94,243"
1997,New Mexico,"779,596","3,542","731,361","31,392"
1997,New York,"8,063,496","46,192","2,763,560","135,814"
1997,North Carolina,"3,479,993","29,861","2,275,679","70,216"
1997,North Dakota,"336,610","2,283","356,213","16,051"
1997,Ohio,"6,700,396","34,444","3,372,811","220,092"
1997,Oklahoma,"1,528,947","15,538","1,339,234","52,318"
1997,Oregon,"1,578,081","12,596","1,300,275","62,836"
1997,Pennsylvania,"6,050,365","33,912","2,740,670","183,116"
1997,Rhode Island,"515,446","1,745","192,489","17,741"
1997,South Carolina,"1,765,458","15,203","1,069,700","39,853"
1997,South Dakota,"377,737","2,699","337,967","24,584"
1997,Tennessee,"2,755,950","17,400","1,761,492","56,229"
1997,Texas,"7,085,404","77,864","5,759,985","133,423"
1997,Utah,"850,812","1,223","677,474","23,175"
1997,Vermont,"290,593","1,916","203,207","18,856"
1997,Virginia,"3,630,241","17,477","2,061,273","56,338"
1997,Washington,"2,690,616","8,476","2,003,060","104,553"
1997,West Virginia,"754,685","3,306","597,001","17,655"
1997,Wisconsin,"2,551,207","12,972","1,668,552","190,673"
1997,Wyoming,"222,311","2,606","328,457","15,261"
1998,Alabama,"2,062,734","8,641","1,787,553","44,540"
1998,Alaska,"232,170","2,196","311,499","13,695"
1998,Arizona,"1,728,185","4,454","1,211,377","54,373"
1998,Arkansas,"928,958","5,995","819,262","21,070"
1998,California,"16,174,220","45,426","9,380,604","403,971"
1998,Colorado,"1,843,385","5,720","1,616,989","97,236"
1998,Connecticut,"1,998,457","9,739","692,437","50,594"
1998,Delaware,"416,709","2,011","197,772","10,174"
1998,District of Columbia,"192,097","2,582","34,037","1,562"
1998,Florida,"7,437,597","43,077","3,795,715","221,966"
1998,Georgia,"4,032,998","17,068","2,843,253","86,273"
1998,Hawaii,"449,731","4,107","249,998","20,445"
1998,Idaho,"501,509","3,604","613,780","34,530"
1998,Illinois,"6,425,276","17,508","2,863,926","204,225"
1998,Indiana,"3,273,026","25,905","2,072,722","102,848"
1998,Iowa,"1,737,582","8,103","1,307,450","128,540"
1998,Kansas,"1,127,367","3,804","990,239","47,634"
1998,Kentucky,"1,715,524","12,034","1,117,054","39,901"
1998,Louisiana,"1,966,954","20,926","1,442,837","39,638"
1998,Maine,"565,338","2,899","361,368","28,117"
1998,Maryland,"2,621,923","11,736","1,116,616","42,636"
1998,Massachusetts,"3,782,940","11,554","1,364,674","99,583"
1998,Michigan,"5,104,781","25,142","2,998,227","154,358"
1998,Minnesota,"2,412,412","14,719","1,750,710","128,097"
1998,Mississippi,"1,250,200","10,185","995,359","31,138"
1998,Missouri,"2,600,722","13,166","1,763,632","53,653"
1998,Montana,"458,116","2,798","527,363","21,582"
1998,Nebraska,"834,188","5,559","686,251","18,662"
1998,Nevada,"665,940","1,706","552,631","24,709"
1998,New Hampshire,"687,770","1,735","348,960","46,040"
1998,New Jersey,"4,215,195","19,581","1,545,560","100,564"
1998,New Mexico,"821,031","3,632","770,129","32,364"
1998,New York,"7,664,320","48,636","2,709,077","138,846"
1998,North Carolina,"3,530,711","30,739","2,300,380","75,002"
1998,North Dakota,"330,275","2,299","339,584","16,167"
1998,Ohio,"6,664,356","35,530","3,339,602","229,306"
1998,Oklahoma,"1,548,949","15,935","1,354,302","53,326"
1998,Oregon,"1,588,313","12,755","1,378,996","64,506"
1998,Pennsylvania,"6,131,725","35,309","2,811,780","191,073"
1998,Rhode Island,"522,292","1,831","190,894","17,673"
1998,South Carolina,"1,822,640","15,399","1,055,022","41,116"
1998,South Dakota,"381,752","2,696","384,059","25,210"
1998,Tennessee,"2,695,539","17,576","1,755,950","59,620"
1998,Texas,"7,455,714","80,091","5,788,362","149,175"
1998,Utah,"850,487","1,232","680,534","24,470"
1998,Vermont,"295,664","1,931","198,558","16,684"
1998,Virginia,"3,774,372","17,783","2,026,139","57,582"
1998,Washington,"2,776,482","9,088","2,038,417","106,352"
1998,West Virginia,"776,583","3,299","597,953","22,496"
1998,Wisconsin,"2,544,109","13,438","1,645,772","170,329"
1998,Wyoming,"219,220","2,661","337,110","15,799"
1999,Alabama,"1,918,032","8,708","2,030,509","49,205"
1999,Alaska,"238,202","2,372","330,895","14,924"
1999,Arizona,"2,037,370","4,551","1,564,306","145,190"
1999,Arkansas,"945,871","6,468","865,486","21,786"
1999,California,"16,657,441","47,017","9,658,010","419,572"
1999,Colorado,"2,053,579","5,803","1,798,766","95,027"
1999,Connecticut,"1,994,380","10,011","761,780","53,521"
1999,Delaware,"401,917","1,986","211,708","10,704"
1999,District of Columbia,"197,070","2,609","35,819","1,489"
1999,Florida,"7,304,601","44,045","4,041,067","235,716"
1999,Georgia,"4,011,725","17,520","2,943,465","87,009"
1999,Hawaii,"454,341","4,184","259,582","19,302"
1999,Idaho,"494,220","3,580","631,843","40,779"
1999,Illinois,"6,307,479","17,691","3,030,090","216,641"
1999,Indiana,"3,224,493","26,902","2,243,692","109,472"
1999,Iowa,"1,723,848","8,115","1,318,004","125,201"
1999,Kansas,"1,187,320","3,850","1,033,178","49,682"
1999,Kentucky,"1,592,519","12,525","1,056,945","41,905"
1999,Louisiana,"1,964,922","21,328","1,518,412","42,908"
1999,Maine,"550,537","2,930","361,988","30,953"
1999,Maryland,"2,665,572","11,476","1,219,249","45,973"
1999,Massachusetts,"3,822,524","11,710","1,498,954","103,110"
1999,Michigan,"5,069,808","25,536","3,194,300","167,882"
1999,Minnesota,"2,265,392","14,664","1,729,661","126,786"
1999,Mississippi,"1,299,441","10,544","1,006,787","32,212"
1999,Missouri,"2,601,830","13,551","1,788,863","57,329"
