Counties,year,Autos,Motorcycles,Trailers,Trucks,Total Vehicles
SANTA BARBARA,2014,263924,13101,32263,77107,386395
SANTA CLARA,2014,1311687,40044,64426,191892,1608049
SANTA CRUZ,2014,172940,10236,19781,49880,252837
SOLANO,2014,271387,12906,35933,68391,388617
VENTURA,2014,565405,24639,52118,134239,776401
ALAMEDA,2015,1082464,34267,60858,178753,1356342
CONTRA COSTA,2015,765068,27573,62380,144712,999733
FRESNO,2015,492048,19200,95440,173784,780472
HUMBOLDT,2015,79531,4999,27566,41336,153432
IMPERIAL,2015,113104,2932,23151,41485,180672
KERN,2015,424033,19420,106417,187694,737564
LOS ANGELES,2015,6293639,164152,305743,1075340,7838874
ORANGE,2015,2248999,64700,117730,400421,2831850
RIVERSIDE,2015,1329526,50420,162256,359997,1902199
SACRAMENTO,2015,918131,33242,105423,217897,1274693
SAN BERNARDINO,2015,1216312,46096,173064,340884,1776356
SAN DIEGO,2015,2152356,89111,179674,460115,2881256
SAN FRANCISCO,2015,407656,23342,8337,54768,494103
SANTA BARBARA,2015,269520,13384,32908,78114,393926
SANTA CLARA,2015,1349898,41219,65839,193802,1650758
SANTA CRUZ,2015,175930,10556,20323,50554,257363
SOLANO,2015,281622,13267,36918,69828,401635
VENTURA,2015,576281,25253,52990,135388,789912
ALAMEDA,2016,1065332,34185,57523,181484,1338524
CONTRA COSTA,2016,835183,27938,63320,151888,1078329
FRESNO,2016,511209,19127,94709,179820,804865
HUMBOLDT,2016,80805,5129,28088,42354,156376
IMPERIAL,2016,121565,3075,23139,43795,191574
KERN,2016,437455,19312,106117,189167,752051
LOS ANGELES,2016,6481351,165275,300306,1103918,8050850
ORANGE,2016,2303011,65762,118689,413661,2901123
RIVERSIDE,2016,1390232,51829,167125,375313,1984499
SACRAMENTO,2016,951840,33385,106171,221756,1313152
SAN BERNARDINO,2016,1266253,46883,176186,352320,1841642
SAN DIEGO,2016,2215741,90305,180931,473340,2960317
SAN FRANCISCO,2016,413147,23078,8531,55645,500401
SANTA BARBARA,2016,276471,13297,33552,80502,403822
SANTA CLARA,2016,1382217,41348,66106,197675,1687346
SANTA CRUZ,2016,180188,10771,20824,51923,263706
SOLANO,2016,291731,13393,37984,72621,415729
VENTURA,2016,590657,25214,53789,139898,809558
