,State,County,year,month,avg(NO2 Mean)
176,California,Imperial,2001,6,9.293434433333337
177,Colorado,Adams,2001,7,24.814548000000016
178,Florida,Orange,2001,1,17.791045704918034
179,Massachusetts,Suffolk,2001,10,25.173962518518508
180,Pennsylvania,Philadelphia,2001,9,21.540933366666664
181,California,San Francisco,2002,11,28.88916703333334
182,Pennsylvania,Allegheny,2000,10,26.986939181818183
183,Pennsylvania,Blair,2000,7,9.49447896428571
184,Pennsylvania,Lawrence,2000,8,15.498550000000002
185,Arizona,Maricopa,2001,10,29.704137355932254
186,Pennsylvania,Bucks,2001,4,17.612479551724128
187,California,Orange,2002,5,7.6928318064516095
188,California,Riverside,2000,5,16.297335129032255
189,California,Santa Cruz,2000,5,5.34186206451613
190,Kansas,Linn,2000,3,3.31659335483871
191,New York,Bronx,2000,11,25.568434366666665
192,Arizona,Maricopa,2001,1,27.502228661290356
193,Arizona,Pima,2001,5,14.362557903225808
194,California,Riverside,2001,11,29.975224266666658
195,California,Ventura,2001,10,13.73520341935484
196,California,Imperial,2002,1,20.13916867741937
197,California,Santa Barbara,2002,5,3.243208349593497
198,California,Orange,2000,3,20.559607193548405
199,California,Contra Costa,2001,8,9.83338631451612
200,California,San Francisco,2001,8,9.55940696774193
201,New York,Queens,2001,1,33.91891649152542
202,Oklahoma,Cherokee,2001,5,6.687865560000003
203,Pennsylvania,Lawrence,2001,4,17.041200899999996
204,California,Riverside,2002,3,22.02333339999999
205,Kentucky,Fayette,2000,9,12.076956533333329
206,California,Santa Cruz,2001,9,4.227078033333336
207,Louisiana,East Baton Rouge,2001,3,17.65501574193548
208,Oklahoma,Kay,2001,8,6.547186244444444
209,Pennsylvania,Philadelphia,2001,3,25.0555331935484
210,Texas,Harris,2001,11,22.607355750000007
211,Texas,Dallas,2000,5,13.496735774193544
212,Virginia,Alexandria City,2000,8,19.27731435483871
213,California,Santa Barbara,2001,7,3.5109050887096838
214,Indiana,Marion,2001,3,17.833333
215,Pennsylvania,Northampton,2001,8,14.073972483870975
216,California,Sacramento,2000,7,10.74243216129033
217,Kentucky,Henderson,2000,9,16.926501000000012
218,New Jersey,Camden,2000,2,31.01231762068967
219,Pennsylvania,Beaver,2000,7,12.617479483870971
220,Texas,Harris,2000,3,18.47411500000001
221,District Of Columbia,District of Columbia,2001,4,25.31735286666667
222,Indiana,Marion,2001,9,14.346712241379311
223,Michigan,Wayne,2001,4,30.833333400000004
224,Michigan,Wayne,2001,6,25.3447222
225,Pennsylvania,Northampton,2001,6,13.939580633333327
226,Pennsylvania,Washington,2001,10,14.933333433333324
227,California,Contra Costa,2002,4,9.314958945945923
228,California,Los Angeles,2000,11,45.502536241666625
229,New Jersey,Camden,2000,7,13.914044346153842
230,New York,Suffolk,2000,8,14.221463806451608
231,Virginia,Fairfax,2000,12,20.275979838709695
232,California,Riverside,2001,5,25.208976225806435
233,District Of Columbia,District of Columbia,2001,3,24.49898993333333
234,Pennsylvania,Northampton,2001,5,15.118387451612909
235,Pennsylvania,York,2000,10,23.073770387096776
236,Texas,El Paso,2000,3,12.322653250000004
237,California,Santa Barbara,2002,3,4.484134516393447
238,Pennsylvania,Blair,2000,8,9.929698419354843
239,Pennsylvania,Lawrence,2001,8,13.892633833333331
240,Pennsylvania,Washington,2001,8,11.744637774193553
241,California,Imperial,2002,6,8.930023066666658
242,California,San Francisco,2002,5,11.647515464285718
243,Pennsylvania,Allegheny,2000,6,18.6916667
244,Pennsylvania,Blair,2000,10,16.803685548387097
245,Pennsylvania,Lackawanna,2000,3,15.75
246,Pennsylvania,York,2000,9,12.63286676666666
247,California,Santa Barbara,2001,2,7.244924955555566
248,Oklahoma,Kay,2001,5,6.663651870967746
249,Pennsylvania,Philadelphia,2001,2,28.905350642857144
250,Pennsylvania,Philadelphia,2001,10,26.10283432258065
251,Arizona,Maricopa,2002,11,31.333823583333345
252,California,Orange,2002,8,9.866760225806448
253,Arizona,Maricopa,2000,4,28.90575032692308
254,California,Riverside,2000,2,20.47826100000001
255,California,San Bernardino,2000,10,23.386538129032267
256,Pennsylvania,Allegheny,2000,9,21.142756220338985
257,Pennsylvania,Philadelphia,2000,6,23.027618000000015
258,California,Solano,2001,6,9.918464821428572
259,Illinois,Cook,2001,8,25.69200664406775
260,Pennsylvania,Blair,2001,7,8.126663806451605
261,Texas,El Paso,2001,12,20.767253499999967
262,California,Alameda,2002,4,12.577216214285704
263,California,Sacramento,2002,1,18.071422499999983
264,California,San Francisco,2000,8,12.804815354838716
265,Virginia,Fairfax,2000,11,18.895296199999983
266,California,San Bernardino,2001,4,17.98840583333333
267,New Jersey,Camden,2001,11,26.662497300000002
268,New York,Queens,2001,11,29.183426933333326
269,Oklahoma,Ottawa,2001,5,7.175347483870969
270,California,San Bernardino,2002,9,24.5608694666667
271,Virginia,Fairfax,2000,10,20.578286809248542
272,California,Santa Barbara,2001,4,3.7945805762711835
273,New York,Queens,2001,5,27.125228451612912
274,California,Alameda,2002,11,26.801936333333355
275,California,Orange,2002,3,16.998597451612916
276,California,San Bernardino,2002,12,21.907046448275853
277,Louisiana,East Baton Rouge,2000,2,22.03477731034482
278,California,Riverside,2001,2,18.035714250000005
279,Pennsylvania,Lancaster,2001,6,12.786016610169492
280,California,San Francisco,2000,12,31.951612903225783
281,California,Ventura,2000,6,9.251936966666666
282,California,Contra Costa,2001,3,12.742954556451632
283,District Of Columbia,District of Columbia,2001,11,27.37733316666667
284,California,Riverside,2002,7,17.652784880000006
285,California,Sacramento,2000,6,10.03320513333333
286,Colorado,Adams,2000,11,28.026633700000012
287,Indiana,Marion,2000,6,13.421823433333342
288,Michigan,Wayne,2000,8,27.576756351851856
289,California,San Bernardino,2001,8,25.357771290322578
290,Kansas,Linn,2001,11,4.013535400000003
291,New Jersey,Essex,2001,10,32.45583408000002
292,Michigan,Wayne,2000,3,34.708333
293,Pennsylvania,Lawrence,2000,4,17.140182899999992
294,California,Riverside,2001,10,31.276297290322617
295,District Of Columbia,District of Columbia,2001,6,23.197103333333335
296,New York,Bronx,2001,4,32.93021744444445
297,Pennsylvania,Beaver,2001,8,15.925212354838708
298,Pennsylvania,Cambria,2001,10,14.280004032258065
299,Pennsylvania,Lawrence,2001,6,13.717420699999991
300,Pennsylvania,Northampton,2001,10,15.31621619354838
301,California,Los Angeles,2002,5,21.95927441988953
302,California,Sacramento,2002,9,17.87608348333335
303,Kentucky,Boyd,2000,3,16.72275932258065
304,Pennsylvania,Northampton,2000,5,15.375984620689652
305,Pennsylvania,Philadelphia,2000,10,28.305568354838705
306,Pennsylvania,Washington,2000,7,10.761241483870968
307,California,San Diego,2001,8,11.981862206896565
308,Indiana,Marion,2001,6,15.53056762068965
309,Texas,Dallas,2001,8,16.22929879999999
310,California,Santa Cruz,2000,1,4.066959870967741
311,California,Santa Cruz,2000,11,7.006681785714286
312,Kansas,Linn,2000,1,6.1673474516129065
313,Kentucky,Daviess,2000,4,11.191580966666661
314,New York,Bronx,2000,8,26.862754557377063
315,California,Los Angeles,2001,6,29.726194720779233
316,California,Orange,2001,12,25.98550722222222
317,California,Santa Barbara,2001,12,6.77437441129032
318,California,Solano,2001,11,17.696144566666664
319,California,Ventura,2001,11,15.696909433333332
320,New York,Suffolk,2001,10,15.78121939999999
321,Pennsylvania,Washington,2001,5,11.779978967741934
322,California,Contra Costa,2002,11,18.87355245270269
323,California,San Diego,2000,11,30.56761386666669
324,Kentucky,McCracken,2000,10,17.11253593548387
325,Oklahoma,Cherokee,2000,3,5.62575756666666
326,Pennsylvania,Bucks,2000,9,12.244525285714284
327,Texas,Dallas,2000,6,13.44117211111112
328,Kentucky,Jefferson,2001,9,12.193939647058823
329,New Jersey,Camden,2001,10,22.525064516129035
330,North Carolina,Mecklenburg,2001,4,15.453968896551729
331,Pennsylvania,York,2001,9,16.471497600000003
332,Texas,Harris,2001,12,22.93949314285714
333,Arizona,Maricopa,2000,3,29.626570803278707
334,California,Solano,2000,5,8.758204193548387
335,Indiana,Marion,2000,8,14.667231249999999
336,Louisiana,East Baton Rouge,2000,12,17.907891838709673
337,New Jersey,Camden,2000,8,14.577760419354838
338,California,San Bernardino,2001,9,23.813030233333347
339,California,Orange,2002,9,15.131331966666668
340,Arizona,Maricopa,2000,11,30.526212666666645
341,Florida,Orange,2000,11,17.151493500000004
342,Louisiana,East Baton Rouge,2000,4,16.59839819999998
343,New York,Queens,2000,4,22.449244699999998
344,New York,Suffolk,2000,9,15.528518600000002
345,Pennsylvania,Beaver,2000,9,14.263425178571437
346,New Jersey,Camden,2001,12,24.005932709677424
347,Pennsylvania,Blair,2001,8,11.485385064516121
348,California,San Diego,2002,12,30.659016182795654
349,California,Santa Barbara,2000,8,4.465881983870971
350,California,Ventura,2000,11,20.94664036666666
351,Kansas,Linn,2000,12,6.3052190645161295
352,California,Los Angeles,2001,2,35.31211190178571
353,California,San Bernardino,2002,3,19.247111096774194
354,Colorado,Adams,2000,2,17.16701325
355,Colorado,Adams,2000,3,12.251036741935486
356,Virginia,Alexandria City,2000,3,32.681818
357,California,Los Angeles,2001,5,29.66569888387092
358,California,Los Angeles,2001,1,43.58099584677413
359,Colorado,Adams,2001,8,25.556058419354834
360,California,Contra Costa,2002,6,8.803055466666667
361,California,Imperial,2002,10,14.371222774193543
362,California,Riverside,2002,9,30.14013525925923
363,California,San Bernardino,2001,12,18.119585387096762
364,Kentucky,Fayette,2001,10,12.570493129032265
365,Louisiana,East Baton Rouge,2001,10,19.17911158064517
366,Texas,Dallas,2001,4,16.498386166666666
367,Texas,Harris,2001,10,21.979811583333326
368,Arizona,Maricopa,2002,6,26.489348200000002
369,Arizona,Pima,2002,9,14.426881307692305
370,California,Alameda,2002,6,11.188973346153848
371,California,Los Angeles,2002,1,38.80771796656525
372,California,Solano,2000,12,20.960149517241383
373,Colorado,Adams,2000,1,9.028765967741945
374,Florida,Orange,2000,10,12.880522967741936
375,Pennsylvania,Washington,2000,8,12.417723870967746
376,Pennsylvania,York,2000,7,14.403762387096776
377,California,San Francisco,2001,3,20.502186387096774
378,Colorado,Adams,2001,6,18.8451784
379,Pennsylvania,Berks,2001,7,14.079827096774189
380,California,Contra Costa,2002,7,9.132558787096768
381,California,Contra Costa,2002,9,13.004918642857124
382,California,Imperial,2002,2,24.193887678571432
383,California,Los Angeles,2000,5,29.814866766129008
384,California,Sacramento,2000,11,15.77378776923075
385,Kansas,Wyandotte,2001,4,17.4185202
386,Oklahoma,Ottawa,2001,3,10.31565633333333
387,Oklahoma,Ottawa,2001,4,7.450339444444442
388,Arizona,Maricopa,2000,9,27.27650666981138
389,California,Los Angeles,2000,7,27.9705470080645
390,Pennsylvania,York,2000,4,14.019169999999997
391,California,Contra Costa,2001,2,14.768224290909076
392,Missouri,Saint Louis,2001,6,16.497749199999998
393,New Jersey,Camden,2001,5,18.861636516129032
394,California,Santa Barbara,2000,6,3.5795072500000016
395,California,Santa Barbara,2000,12,9.736545413223139
396,District Of Columbia,District of Columbia,2000,5,22.43345283870968
397,New York,Bronx,2000,12,29.3902660967742
398,North Carolina,Mecklenburg,2000,8,14.444770354838704
399,Pennsylvania,Northampton,2000,4,14.219896185185187
400,California,San Bernardino,2001,6,20.05287980000002
401,California,Ventura,2000,9,11.8603206
402,District Of Columbia,District of Columbia,2000,12,27.3979195483871
403,Kansas,Wyandotte,2000,2,18.6852141724138
404,Oklahoma,Cherokee,2001,12,9.046542875000002
405,Pennsylvania,Philadelphia,2001,5,25.38640283333333
406,California,San Bernardino,2002,1,20.97684758064517
407,California,Santa Cruz,2001,5,5.238200709677416
408,Kentucky,Jefferson,2001,3,13.60215816129031
409,New Jersey,Camden,2001,3,24.811676434782623
410,Pennsylvania,Cambria,2001,6,11.862565896551724
411,Pennsylvania,Montgomery,2001,8,16.877958900000007
412,Pennsylvania,York,2001,5,18.692204258064525
413,New York,Bronx,2000,9,26.262543866666665
414,Pennsylvania,Northampton,2000,9,12.780978233333334
415,Arizona,Maricopa,2001,8,24.62763848148149
416,District Of Columbia,District of Columbia,2001,5,22.264126290322572
417,Kentucky,Fayette,2001,2,15.869565
418,Kentucky,Jefferson,2001,7,10.784712419354843
419,Oklahoma,Kay,2001,7,4.589626923076922
420,California,Los Angeles,2002,11,42.078978625
421,Michigan,Wayne,2000,7,18.9286805483871
422,Pennsylvania,Bucks,2000,5,16.276407461538465
423,Texas,Harris,2000,6,9.844361866666672
424,New York,Queens,2001,9,21.894716659090914
425,California,Santa Barbara,2002,11,7.151350242105261
426,California,Santa Barbara,2000,1,8.441225160173138
427,New York,Queens,2000,12,27.15669216129033
428,Oklahoma,Kay,2000,3,5.8165869649122826
429,California,Contra Costa,2000,10,13.845164435483884
430,California,San Diego,2000,9,17.99040557777778
431,California,San Francisco,2001,6,14.924959800000005
432,Missouri,St. Louis City,2001,11,28.564484166666677
433,New York,Bronx,2001,7,23.414781000000005
434,Missouri,St. Louis City,2001,4,16.308350066666655
435,Pennsylvania,Allegheny,2001,8,21.110257185185187
436,Pennsylvania,Beaver,2001,5,15.929289483870958
437,Pennsylvania,York,2001,6,18.722041066666666
438,California,Solano,2000,9,14.19318183333333
439,Virginia,Alexandria City,2000,5,21.947182129032267
440,California,Riverside,2001,12,23.98583445161291
441,Kentucky,Fayette,2001,8,12.758150448275856
442,Missouri,St. Louis City,2001,5,19.17745970967742
443,Pennsylvania,Allegheny,2001,4,21.51363633333334
444,Pennsylvania,Washington,2001,3,14.708333
445,Arizona,Pima,2002,10,18.078691709677415
446,Kansas,Wyandotte,2000,5,16.360738645161295
447,Kentucky,Boyd,2000,10,19.932199033333355
448,New Jersey,Camden,2000,12,25.18377319354839
449,Pennsylvania,Montgomery,2000,3,18.571429
450,California,Ventura,2001,8,10.097584838709686
451,Missouri,St. Louis City,2001,3,27.458333
452,Pennsylvania,Berks,2001,6,17.3897288
453,California,San Bernardino,2000,9,21.50727260000001
454,Pennsylvania,Lackawanna,2000,5,13.638224258064513
455,California,San Diego,2001,4,16.605601640718568
456,Pennsylvania,Lackawanna,2001,6,12.400946999999997
457,California,Los Angeles,2000,1,42.297802688171984
458,Pennsylvania,Bucks,2000,10,18.375350677419345
459,Missouri,Saint Louis,2001,7,13.464602967741936
460,Pennsylvania,Blair,2001,9,10.144494133333328
461,Pennsylvania,Philadelphia,2001,11,27.73458642857143
462,Arizona,Maricopa,2002,10,31.063397080645128
463,California,Contra Costa,2000,2,15.155745830188687
464,Kansas,Wyandotte,2000,11,16.577881200000004
465,Kentucky,Jefferson,2000,7,9.630402947368433
466,Louisiana,East Baton Rouge,2000,8,16.541151451612908
467,Missouri,Saint Louis,2000,4,17.988011579999988
468,Pennsylvania,Berks,2000,9,16.360907900000008
469,New York,Bronx,2000,10,32.53014593548388
470,New York,Queens,2000,2,31.13262589655172
471,New York,Suffolk,2000,12,19.428926290322583
472,California,Riverside,2001,1,20.72931277419357
473,Florida,Orange,2001,6,11.39058396551724
474,Missouri,St. Louis City,2001,10,21.05583330000001
475,California,Los Angeles,2000,4,32.418290853448305
476,California,San Francisco,2000,6,13.822938551724139
477,California,Solano,2001,2,17.51863346428573
478,Pennsylvania,Blair,2001,5,11.09367703225806
479,Pennsylvania,Lancaster,2001,5,12.89318293548387
480,Pennsylvania,Northampton,2001,9,12.559729749999999
481,California,San Bernardino,2000,11,23.702373799999993
482,Kansas,Wyandotte,2000,12,16.194690548387097
483,Kansas,Linn,2001,5,2.4917417600000014
484,New Jersey,Camden,2001,9,15.36863386666666
485,California,Contra Costa,2000,6,10.422246948717925
486,California,Solano,2000,7,7.962705612903228
487,Texas,Dallas,2000,1,22.72425763934425
488,California,Ventura,2001,3,9.868894387096766
489,District Of Columbia,District of Columbia,2001,2,26.281996999999993
490,Oklahoma,Ottawa,2001,7,8.445460870967741
491,Texas,Harris,2001,3,17.74889180645162
492,California,San Diego,2002,3,20.821281387096782
493,California,Santa Barbara,2000,7,3.5674621290322555
494,Illinois,Cook,2000,7,22.47324218390806
495,New Jersey,Camden,2000,9,13.665929576271184
496,Pennsylvania,Montgomery,2000,7,13.93937467741935
497,California,Contra Costa,2001,7,8.4443141048387
498,California,Santa Barbara,2002,6,2.8742966708860758
499,California,San Francisco,2000,7,9.185133225806453
500,Kansas,Linn,2000,8,2.107307608695652
501,Kentucky,Boyd,2000,7,11.596477000000004
502,Kentucky,Boyd,2000,9,12.858119399999989
503,Pennsylvania,Allegheny,2000,4,22.496884119999994
504,California,Riverside,2001,9,29.546376899999988
505,Pennsylvania,Lawrence,2001,9,14.2899414
506,Arizona,Maricopa,2002,1,34.23749309677422
507,Arizona,Maricopa,2002,4,24.44402636065573
508,Pennsylvania,Lawrence,2000,9,14.973913000000007
509,California,Contra Costa,2001,5,11.803166927419372
510,Illinois,Cook,2001,6,25.08791923333337
511,Kentucky,Fayette,2001,7,13.446072079999995
512,Louisiana,East Baton Rouge,2001,1,20.188868580645156
513,Nevada,Clark,2001,11,4.550856366666666
514,California,Los Angeles,2002,10,33.900042330645164
515,Arizona,Maricopa,2000,2,45.036649443478225
516,Kansas,Sumner,2000,8,5.2572465
517,Pennsylvania,Northampton,2000,10,17.32161906451612
518,Virginia,Fairfax,2000,6,14.471716617142855
519,California,Contra Costa,2001,6,10.333276241666674
520,California,Orange,2001,7,6.928471225806449
521,Louisiana,East Baton Rouge,2001,11,23.31791989285714
522,Pennsylvania,Berks,2001,8,17.251025290322577
523,Arizona,Maricopa,2002,12,29.37230517307696
524,California,Imperial,2002,5,8.71904880645161
525,Kentucky,Daviess,2000,10,12.29714387096774
526,Kentucky,McCracken,2000,7,9.528104600000002
527,Pennsylvania,Lawrence,2000,7,15.784862517241383
528,Pennsylvania,Philadelphia,2000,3,28.80563096551726
529,California,Imperial,2001,11,19.520619233333353
530,California,Los Angeles,2001,8,32.495805919999874
531,New Jersey,Camden,2001,2,23.451595086956512
532,California,Los Angeles,2002,9,33.605583183333295
533,California,Sacramento,2002,10,20.205092290322614
534,Arizona,Maricopa,2000,10,26.514713660869578
535,California,San Diego,2000,12,34.68788823913042
536,Kentucky,McCracken,2000,3,12.246330000000004
537,New York,Suffolk,2000,5,18.92406941935484
538,California,Imperial,2001,8,8.42144264516129
539,Oklahoma,Ottawa,2001,8,9.507125193548392
540,California,San Diego,2000,2,22.264151918604604
541,California,Solano,2000,3,13.240699903225801
542,Pennsylvania,Montgomery,2000,8,13.865832258064515
543,Indiana,Marion,2001,5,15.108921064516133
544,Pennsylvania,Bucks,2000,8,13.919172321428574
545,Arizona,Maricopa,2002,3,25.526475857142866
546,Pennsylvania,Blair,2000,9,10.553480466666663
547,Texas,El Paso,2000,12,21.98531795555555
548,California,Imperial,2001,10,20.80307280645162
549,District Of Columbia,District of Columbia,2001,1,31.975801096774195
550,Kentucky,Daviess,2001,6,6.439880633333331
551,Massachusetts,Suffolk,2001,6,21.972373799999996
552,Pennsylvania,Cambria,2001,5,11.06531731034483
553,Pennsylvania,Philadelphia,2001,8,23.504512193548397
554,Arizona,Maricopa,2002,2,33.04696018181814
555,California,San Francisco,2000,5,16.464235645161292
